Product Type,Comment,Total Thickness (mm),Outer Lite (Name_Thickness mm),Outer Lite NFRC ID,Outer Lite Low-E,Inner Lite (Name_Thickness mm),Inner Lite NFRC ID,Inner Lite Low-E,U-value NFRC (W/m²K),U-value NFRC (BTU/hrftF),R-value NFRC,SHGC,Tvis (Visible Transmittance),Exterior Visible Reflectance,Exterior Reflected Color L*,Exterior Reflected Color a*,Exterior Reflected Color b*,Interior Reflected Color L*,Interior Reflected Color a*,Interior Reflected Color b*,T-UV,NFRC,CEN,g-factor,U-value CEN (W/m�K)
Enthermal,C180 4mm / Vacuum 0.25mm / Clear 4mm,8.05,4mm Clear,2192,LoE 180 S2,Float Glass - 4mm,2002,,0.4778,0.0842,11.88,0.6332,0.7868,0.1532,46.23,-1.34,-5.55,45.2,-0.5,-5.95,0.2747,Yes,No,,
Enthermal,C180 5mm / Vacuum 0.25mm / Clear 4mm,8.85,5mm Clear,2193,LoE 180 S2,Float Glass - 4mm,2002,,0.4777,0.0841,11.89,0.6232,0.7836,0.152,46.07,-1.47,-5.5,45.13,-0.53,-5.97,0.2656,Yes,No,,
Enthermal,C180 5mm / Vacuum 0.25mm / Clear 5mm,9.65,5mm Clear,2193,LoE 180 S2,Float Glass - 5mm,2003,,0.4775,0.0841,11.89,0.6232,0.7807,0.1513,45.97,-1.47,-5.53,44.93,-0.63,-5.94,0.2567,Yes,No,,
Enthermal,C180 6mm / Vacuum 0.25mm / Clear 4mm,9.85,6mm Clear,2194,LoE 180 S2,Float Glass - 4mm,2002,,0.4775,0.0841,11.89,0.6064,0.7764,0.15,45.79,-1.65,-5.39,45.05,-0.55,-5.99,0.2572,Yes,No,,
Enthermal,C180 6mm / Vacuum 0.25mm / Clear 5mm,10.65,6mm Clear,2194,LoE 180 S2,Float Glass - 5mm,2003,,0.4773,0.0841,11.9,0.6065,0.7735,0.1493,45.69,-1.66,-5.42,44.85,-0.66,-5.96,0.2487,Yes,No,,
Enthermal,C180 6mm / Vacuum 0.25mm / Clear 6mm,11.65,6mm Clear,2194,LoE 180 S2,Float Glass - 6mm,2004,,0.477,0.084,11.9,0.6058,0.7664,0.1487,45.61,-1.65,-5.45,44.58,-0.81,-5.85,0.2412,Yes,No,,
Enthermal,C270 4mm / Vacuum 0.25mm / Clear 4mm,8.05,4mm Clear,2027,LoE² 270 S2,Float Glass - 4mm,2002,,0.3503,0.0617,16.21,0.3513,0.6916,0.1218,41.56,-2.96,-2.04,43.16,-7.54,2.45,0.1356,Yes,No,,
Enthermal,C270 5mm / Vacuum 0.25mm / Clear 4mm,8.85,5mm Clear,2028,LoE² 270 S2,Float Glass - 4mm,2002,,0.3502,0.0617,16.21,0.3483,0.688,0.1204,41.34,-3.05,-2.04,43.07,-7.57,2.42,0.1322,Yes,No,,
Enthermal,C270 5mm / Vacuum 0.25mm / Clear 5mm,9.65,5mm Clear,2028,LoE² 270 S2,Float Glass - 5mm,2003,,0.3501,0.0617,16.22,0.3484,0.6855,0.1198,41.24,-3.05,-2.06,42.87,-7.66,2.43,0.1281,Yes,No,,
Enthermal,C270 6mm / Vacuum 0.25mm / Clear 4mm,9.85,6mm Clear,2029,LoE² 270 S2,Float Glass - 4mm,2002,,0.3501,0.0617,16.22,0.3433,0.6836,0.1199,41.26,-3.27,-1.94,43.07,-7.63,2.45,0.1288,Yes,No,,
Enthermal,C270 6mm / Vacuum 0.25mm / Clear 5mm,10.65,6mm Clear,2029,LoE² 270 S2,Float Glass - 5mm,2003,,0.35,0.0616,16.22,0.3435,0.6811,0.1193,41.17,-3.27,-1.96,42.87,-7.72,2.46,0.1248,Yes,No,,
Enthermal,C270 6mm / Vacuum 0.25mm / Clear 6mm,11.65,6mm Clear,2029,LoE² 270 S2,Float Glass - 6mm,2004,,0.3498,0.0616,16.23,0.3434,0.6749,0.1189,41.1,-3.27,-1.98,42.62,-7.78,2.46,0.1216,Yes,No,,
Enthermal,C272 4mm / Vacuum 0.25mm / Clear 4mm,8.05,4 mm Clear,2012,LoE² 272 S2,Float Glass - 4mm,2002,,0.3779,0.0666,15.03,0.4004,0.7146,0.1074,39.14,-0.81,-2.23,40.76,-2.06,0.72,0.1576,Yes,No,,
Enthermal,C272 5mm / Vacuum 0.25mm / Clear 4mm,8.85,5 mm Clear,2013,LoE² 272 S2,Float Glass - 4mm,2002,,0.3778,0.0665,15.03,0.3964,0.7117,0.1066,38.99,-0.9,-2.2,40.69,-2.08,0.71,0.1528,Yes,No,,
Enthermal,C272 5mm / Vacuum 0.25mm / Clear 5mm,9.65,5 mm Clear,2013,LoE² 272 S2,Float Glass - 5mm,2003,,0.3777,0.0665,15.04,0.3965,0.7091,0.106,38.89,-0.9,-2.22,40.49,-2.16,0.72,0.1482,Yes,No,,
Enthermal,C272 6mm / Vacuum 0.25mm / Clear 4mm,9.85,6 mm Clear,2014,LoE² 272 S2,Float Glass - 4mm,2002,,0.3777,0.0665,15.04,0.3893,0.7052,0.1054,38.79,-1.02,-2.14,40.62,-2.11,0.71,0.149,Yes,No,,
Enthermal,C272 6mm / Vacuum 0.25mm / Clear 5mm,10.65,6 mm Clear,2014,LoE² 272 S2,Float Glass - 5mm,2003,,0.3775,0.0665,15.04,0.3894,0.7026,0.1048,38.68,-1.03,-2.16,40.42,-2.19,0.72,0.1445,Yes,No,,
Enthermal,C272 6mm / Vacuum 0.25mm / Clear 6mm,11.65,6 mm Clear,2014,LoE² 272 S2,Float Glass - 6mm,2004,,0.3774,0.0665,15.05,0.3893,0.6962,0.1043,38.6,-1.02,-2.18,40.19,-2.28,0.73,0.1409,Yes,No,,
Enthermal,C340 4mm / Vacuum 0.25mm / Clear 4mm,8.05,4mm Clear,2165,LoE³ 340 S2,Float Glass - 4mm,2002,,0.3228,0.0569,17.59,0.159,0.386,0.1329,43.38,-5.66,-12.84,46.38,-1.92,0.96,0.0205,Yes,No,,
Enthermal,C340 5mm / Vacuum 0.25mm / Clear 4mm,8.85,5mm Clear,2166,LoE³ 340 S2,Float Glass - 4mm,2002,,0.3227,0.0568,17.59,0.1583,0.3841,0.1314,43.15,-5.8,-12.74,46.35,-1.91,0.97,0.02,Yes,No,,
Enthermal,C340 5mm / Vacuum 0.25mm / Clear 5mm,9.65,5mm Clear,2166,LoE³ 340 S2,Float Glass - 5mm,2003,,0.3226,0.0568,17.6,0.1584,0.3827,0.1312,43.12,-5.79,-12.74,46.15,-2.05,1.0,0.0193,Yes,No,,
Enthermal,C340 6mm / Vacuum 0.25mm / Clear 4mm,9.85,6mm Clear,2167,LoE³ 340 S2,Float Glass - 4mm,2002,,0.3226,0.0568,17.6,0.1575,0.3817,0.1309,43.07,-6.04,-12.47,46.36,-1.93,0.98,0.0194,Yes,No,,
Enthermal,C340 6mm / Vacuum 0.25mm / Clear 5mm,10.65,6mm Clear,2167,LoE³ 340 S2,Float Glass - 5mm,2003,,0.3226,0.0568,17.6,0.1576,0.3804,0.1307,43.05,-6.03,-12.47,46.15,-2.07,1.02,0.0188,Yes,No,,
Enthermal,C340 6mm / Vacuum 0.25mm / Clear 6mm,11.65,6mm Clear,2167,LoE³ 340 S2,Float Glass - 6mm,2004,,0.3224,0.0568,17.61,0.1576,0.377,0.1306,43.03,-6.02,-12.47,45.87,-2.26,1.07,0.0183,Yes,No,,
Enthermal,C366 4mm / Vacuum 0.25mm / Clear 4mm,8.05,4mm Clear,2155,LoE³ 366 S2,Float Glass - 4mm,2002,,0.2891,0.0509,19.64,0.2582,0.6433,0.1116,39.84,-0.63,-3.66,41.43,0.59,-1.3,0.0487,Yes,No,,
Enthermal,C366 5mm / Vacuum 0.25mm / Clear 4mm,8.85,5mm Clear,2156,LoE³ 366 S2,Float Glass - 4mm,2002,,0.2891,0.0509,19.64,0.2567,0.6401,0.1102,39.62,-0.73,-3.66,41.35,0.61,-1.35,0.0474,Yes,No,,
Enthermal,C366 5mm / Vacuum 0.25mm / Clear 5mm,9.65,5mm Clear,2156,LoE³ 366 S2,Float Glass - 5mm,2003,,0.289,0.0509,19.65,0.2569,0.6378,0.1097,39.54,-0.71,-3.68,41.15,0.51,-1.34,0.0459,Yes,No,,
Enthermal,C366 6mm / Vacuum 0.25mm / Clear 4mm,9.85,6mm Clear,2157,LoE³ 366 S2,Float Glass - 4mm,2002,,0.289,0.0509,19.65,0.2546,0.636,0.1098,39.56,-0.96,-3.53,41.35,0.55,-1.32,0.0461,Yes,No,,
Enthermal,C366 6mm / Vacuum 0.25mm / Clear 5mm,10.65,6mm Clear,2157,LoE³ 366 S2,Float Glass - 5mm,2003,,0.2889,0.0509,19.65,0.2548,0.6337,0.1094,39.47,-0.94,-3.56,41.15,0.46,-1.31,0.0446,Yes,No,,
